,vmcreated,vmdeleted,lifetime,profile,node,core
260,2288100,2294100,1.6666666666666667,5,1,4
261,2293500,2293500,0.08333333333333333,3,1,5
262,2290200,2291100,0.25,1,3,2
263,2291400,2292600,0.3333333333333333,7,2,2
264,2289000,2290800,0.5,6,2,4
265,2292900,2437800,40.25,8,2,1
266,2289000,2293800,1.3333333333333333,5,1,4
267,2291700,2294100,0.6666666666666666,5,1,4
268,2293200,2438100,40.25,4,1,4
269,2290500,2292300,0.5,6,3,1
270,2292300,2294100,0.5,6,1,1
271,2293200,2312700,5.416666666666667,8,2,2
272,2293500,2295000,0.4166666666666667,4,1,5
273,2292000,2292000,0.08333333333333333,4,3,2
274,2291400,2292000,0.16666666666666666,5,1,3
275,2286900,2290800,1.0833333333333333,5,2,5
